Model,comments,dataset,dataset type,Precision Performance,Recall Performance,F1 performance
PBM,Separation,dbpedia,adv - textfooler,0.562,0.425,0.467
PBM,Separation,dbpedia,test - textbugger,0.783,0.8,0.786
PBM,Separation,dbpedia,adv - textbugger,0.536,0.406,0.453
PBM,Separation,dbpedia,test - paraphrased,0.8541,0.879,0.8629
PBM,Separation,dbpedia,adv - paraphrased,0.8221,0.777,0.7844
PBM,DP,imdb,test - textfooler,0.884,0.88,0.88
PBM,DP,imdb,adv - textfooler,0.69,0.687,0.685
PBM,DP,imdb,test - textbugger,0.854,0.85,0.849
PBM,DP,imdb,adv - textbugger,0.718,0.716,0.716
PBM,DP,imdb,test - paraphrased,0.833,0.83,0.8286
PBM,DP,imdb,adv - paraphrased,0.8377,0.835,0.8338
PBM,DP,ag_news,test - textfooler,0.801,0.797,0.796
PBM,DP,ag_news,adv - textfooler,0.514,0.504,0.502
PBM,DP,ag_news,test - textbugger,0.684,0.674,0.673
PBM,DP,ag_news,adv - textbugger,0.523,0.501,0.5
PBM,DP,ag_news,test - paraphrased,0.7657,0.756,0.7563
PBM,DP,ag_news,adv - paraphrased,0.7482,0.735,0.7319
PBM,DP,dbpedia,test - textfooler,0.911,0.928,0.919
PBM,DP,dbpedia,adv - textfooler,0.547,0.548,0.538
PBM,DP,dbpedia,test - textbugger,0.877,0.887,0.881
PBM,DP,dbpedia,adv - textbugger,0.579,0.552,0.552
PBM,DP,dbpedia,test - paraphrased,0.9295,0.938,0.9334
PBM,DP,dbpedia,adv - paraphrased,0.8815,0.888,0.8829
Prototex,,imdb,test - textfooler,0.974,0.974,0.974
Prototex,,imdb,adv - textfooler,0.89,0.889,0.89
Prototex,,imdb,test - textbugger,0.969,0.969,0.969
Prototex,,imdb,adv - textbugger,0.875,0.875,0.875
Prototex,,imdb,test - paraphrased,0.95,0.95,0.95
Prototex,,imdb,adv - paraphrased,0.95,0.95,0.95
Prototex,,ag_news,test - textfooler,0.975,0.975,0.975
Prototex,,ag_news,adv - textfooler,0.806,0.789,0.791
Prototex,,ag_news,test - textbugger,0.939,0.937,0.937
Prototex,,ag_news,adv - textbugger,0.737,0.724,0.726
Prototex,,ag_news,test - paraphrased,0.97,0.97,0.97
Prototex,,ag_news,adv - paraphrased,0.887,0.883,0.883
Prototex,,dbpedia,test - textfooler,0.96,0.956,0.956
Prototex,,dbpedia,adv - textfooler,0.74,0.718,0.715
Prototex,,dbpedia,test - textbugger,0.942,0.937,0.936
Prototex,,dbpedia,adv - textbugger,0.751,0.73,0.729
Prototex,,dbpedia,test - paraphrased,0.965,0.96,0.96
Prototex,,dbpedia,adv - paraphrased,0.975,0.973,0.974
bert-small,,imdb,test - textfooler,0.96,0.96,0.96
bert-small,,imdb,adv - textfooler,0.86,0.86,0.86
bert-small,,imdb,test - textbugger,0.95,0.95,0.95
bert-small,,imdb,adv - textbugger,0.85,0.85,0.85
bert-small,,imdb,test - paraphrased,0.94,0.94,0.94
bert-small,,imdb,adv - paraphrased,0.93,0.93,0.93
bert-small,,ag_news,test - textfooler,0.93,0.93,0.93
bert-small,,ag_news,adv - textfooler,0.81,0.81,0.81
bert-small,,ag_news,test - textbugger,0.84,0.83,0.83
bert-small,,ag_news,adv - textbugger,0.69,0.69,0.69
bert-small,,ag_news,test - paraphrased,0.87,0.87,0.87
bert-small,,ag_news,adv - paraphrased,0.86,0.85,0.85
bert-small,,dbpedia,test - textfooler,0.99,0.99,0.99
bert-small,,dbpedia,adv - textfooler,0.6,0.6,0.59
bert-small,,dbpedia,test - textbugger,0.97,0.97,0.97
bert-small,,dbpedia,adv - textbugger,0.62,0.61,0.6
